# FACILITY: LCO
# DATE-OBS: 2024-11-23
wavelength flux
3.598510782347039822e+03 8.464339843750000026e-16
3.600233701103308704e+03 7.371891406249999122e-16
3.601956619859577586e+03 8.446092187499999752e-16
3.603679538615846468e+03 8.803666406249999594e-16
3.605402457372115350e+03 7.007914062499999383e-16
3.607125376128384232e+03 7.677200781249999653e-16
3.608848294884652660e+03 7.701142968749999211e-16
3.610571213640921542e+03 7.458449218750000078e-16
3.612294132397190424e+03 7.049828124999999563e-16
3.614017051153459306e+03 7.327517187499999123e-16
3.615739969909728188e+03 7.263131249999999923e-16
3.617462888665996616e+03 6.667753124999999168e-16
3.619185807422265498e+03 6.102008203124999365e-16
3.620908726178534380e+03 7.909722656249999986e-16
3.622631644934803262e+03 8.324052343749999223e-16
3.624354563691072144e+03 8.819490624999999356e-16
3.626077482447341026e+03 7.776248437499999190e-16
3.627800401203609454e+03 7.573857812499999380e-16
3.629523319959878336e+03 7.619115625000000040e-16
3.631246238716147218e+03 7.212660937499999969e-16
3.632969157472416100e+03 8.907040624999999171e-16
3.634692076228684982e+03 8.231689843749999096e-16
3.636414994984953410e+03 7.505042187499999971e-16
3.638137913741222292e+03 7.963907031249999814e-16
3.639860832497491174e+03 8.188892968749999100e-16
3.641583751253760056e+03 8.331365624999999929e-16
3.643306670010028938e+03 8.451502343749999943e-16
3.645029588766297820e+03 7.744571874999999800e-16
3.646752507522566248e+03 6.741049218749999504e-16
3.648475426278835130e+03 8.458048437499999738e-16
3.650198345035104012e+03 7.776304687499999910e-16
3.651921263791372894e+03 7.518034374999999814e-16
3.653644182547641776e+03 7.251296093749999828e-16
3.655367101303910204e+03 7.350770312499999480e-16
3.657090020060179086e+03 8.872835156249999521e-16
3.658812938816447968e+03 7.457744531249999747e-16
3.660535857572716850e+03 7.595212499999999366e-16
3.662258776328985732e+03 7.644168749999999756e-16
3.663981695085254614e+03 8.302581249999999488e-16
3.665704613841523042e+03 7.938653906249999622e-16
3.667427532597791924e+03 8.561057031249999075e-16
3.669150451354060806e+03 8.187118750000000030e-16
3.670873370110329688e+03 7.851767968749999563e-16
3.672596288866598570e+03 6.933821874999999395e-16
3.674319207622866998e+03 7.971390624999999439e-16
3.676042126379135880e+03 8.153382812499999661e-16
3.677765045135404762e+03 8.993763281250000031e-16
3.679487963891673644e+03 8.140314843749999657e-16
3.681210882647942526e+03 7.860357031249999345e-16
3.682933801404211408e+03 8.970110937499999566e-16
3.684656720160479836e+03 7.696353124999999750e-16
3.686379638916748718e+03 7.653865624999999274e-16
3.688102557673017600e+03 8.008266406249999528e-16
3.689825476429286482e+03 7.086232031249999806e-16
3.691548395185555364e+03 8.919660937499998913e-16
3.693271313941823792e+03 1.015285078124999976e-15
3.694994232698092674e+03 9.240537500000000124e-16
3.696717151454361556e+03 9.592002343749999445e-16
3.698440070210630438e+03 9.287242968749999484e-16
3.700162988966899320e+03 9.223266406249998563e-16
3.701885907723168202e+03 8.260881249999999224e-16
3.703608826479436630e+03 9.186516406250000480e-16
3.705331745235705512e+03 9.128411718749999453e-16
3.707054663991974394e+03 8.248821874999999069e-16
3.708777582748243276e+03 8.722525781249999536e-16
3.710500501504512158e+03 8.634920312499999846e-16
3.712223420260780586e+03 8.038153124999999703e-16
3.713946339017049468e+03 8.962210156249999124e-16
3.715669257773318350e+03 1.030316953125000003e-15
3.717392176529587232e+03 9.714804687499998770e-16
3.719115095285856114e+03 9.356318750000000372e-16
3.720838014042124996e+03 7.728030468749999985e-16
3.722560932798393424e+03 8.799858593749999834e-16
3.724283851554662306e+03 9.004729687499998764e-16
3.726006770310931188e+03 8.892334375000000274e-16
3.727729689067200070e+03 1.013005390625000009e-15
3.729452607823468952e+03 9.632258593749999318e-16
